text	kind	city	script	has_diacritic
Groblje	amenity	Travnik	latin	0
Groblje Dolać	amenity	Travnik	latin	1
Groblje Sv. Marko Kriz	amenity	Zenica	latin	0
Groblje na Bjelušinama	amenity	Mostar	latin	1
Groblje svetog Petra	amenity	Livno	latin	0
Groblje Časnih Sestara	amenity	Tuzla	latin	1
Grobna kapela	amenity	Tuzla	latin	0
Grogot d.o.o.	amenity	Tuzla	latin	0
Gruntovnica	amenity	Tuzla	latin	0
Gubavica	amenity	Goražde	latin	0
Guest House Centar	amenity	Bihać	latin	0
Guest House Goa Mostar	amenity	Mostar	latin	0
Guest House Nova	amenity	Mostar	latin	0
Gužva	amenity	Banja Luka	latin	1
Gyros Solunac	amenity	Banja Luka	latin	0
HA Torlo d.o.o.	amenity	Mostar	latin	0
HAS Comerc	amenity	Brčko	latin	0
HAUSTOR.	amenity	Banja Luka	latin	0
HDZ 1990	amenity	Mostar	latin	0
HIFA	amenity	Goražde	latin	0
HIFA-Petrol	amenity	Zenica	latin	0
HKD Napredak	amenity	Mostar	latin	0
HM Petrol	amenity	Bihać	latin	0
HR PRO Solutions	amenity	Sarajevo	latin	0
HRT	amenity	Mostar	latin	0
HT	amenity	Mostar	latin	0
HT ERONET	amenity	Mostar	latin	0
HUT - Pizzeria Mineli	amenity	Sarajevo	latin	0
HVIDRA Mostar	amenity	Mostar	latin	0
Habamero local food	amenity	Bijeljina	latin	0
Hacienda	amenity	Bijeljina	latin	0
Hacienda Sunrise	amenity	Mostar	latin	0
Hadži Ali-begova džamija	amenity	Travnik	latin	1
Hadži Hafiz Halidova Česma	amenity	Sarajevo	latin	1
Hadži Pašina džamija	amenity	Brčko	latin	1
Hadžiahmetovića / Veliko kolo	amenity	Trebinje	latin	1
Hadžibeg	amenity	Mostar	latin	1
Hadžijina džamija	amenity	Zvornik	latin	1
Hadžijska džamija	amenity	Tuzla	latin	1
Hajat	amenity	Bihać	latin	0
Hajr česma	amenity	Tuzla	latin	1
Hajr česma "Nadžina voda"	amenity	Goražde	latin	1
Hajr česma "Pobarnik"	amenity	Goražde	latin	1
Halikarnas	amenity	Sarajevo	latin	0
Hametova pijaca	amenity	Tuzla	latin	0
Hanioti	amenity	Banja Luka	latin	0
Happy Boys	amenity	Banja Luka	latin	0
Hari	amenity	Bihać	latin	0
Haris Youth Hostel	amenity	Sarajevo	latin	0
Haris Youth Hostel Central	amenity	Sarajevo	latin	0
Harmanska džamija	amenity	Bihać	latin	1
Havana	amenity	Bijeljina	latin	0
Healthexpress	amenity	Banja Luka	latin	0
Healthy	amenity	Banja Luka	latin	0
Hedona	amenity	Sarajevo	latin	0
Hedona Vino Klub	amenity	Sarajevo	latin	0
Hedonija	amenity	Trebinje	latin	0
Helen Doron English	amenity	Mostar	latin	0
Helen Doron English for Children	amenity	Travnik	latin	0
Hemingway	amenity	Banja Luka	latin	0
Hercegovačka gorska služba spašavanja	amenity	Mostar	latin	1
Hercegovačka priča	amenity	Trebinje	latin	1
Heritage hotel Villa Fortuna	amenity	Mostar	latin	0
Heroj Nedžad Dizdarević	amenity	Bihać	latin	1
Hertz	amenity	Banja Luka	latin	0
Hid-Farm	amenity	Bihać	latin	0
Hid-farm	amenity	Bihać	latin	0
Hidroelektrane na Trebišnjici (HET)	amenity	Trebinje	latin	1
Hifa	amenity	Tuzla	latin	0
Hifa Benz	amenity	Travnik	latin	0
Hifa Petrol	amenity	Banja Luka	latin	0
Higia	amenity	Tuzla	latin	0
Hipo	amenity	Bihać	latin	0
Hipp	amenity	Mostar	latin	0
Hit TV	amenity	Brčko	latin	0
Hitna pomoć	amenity	Travnik	latin	1
Hiža	amenity	Tuzla	latin	1
Hladnjak	amenity	Sarajevo	latin	0
Home Coffe	amenity	Zenica	latin	0
Hookah bar DEJA VU	amenity	Sarajevo	latin	0
Hostel Balkan Han	amenity	Sarajevo	latin	0
Hostel Balkaneros	amenity	Mostar	latin	0
Hostel Banja Luka	amenity	Banja Luka	latin	0
Hostel City Center Sarajevo	amenity	Sarajevo	latin	0
Hostel Cuba	amenity	Banja Luka	latin	0
Hostel Dada	amenity	Mostar	latin	0
Hostel Denal	amenity	Sarajevo	latin	0
Hostel Enardi	amenity	Mostar	latin	0
Hostel Golden Bridge	amenity	Mostar	latin	0
Hostel Hercegovina	amenity	Mostar	latin	0
Hostel Inn	amenity	Sarajevo	latin	0
Hostel Ljubicica	amenity	Sarajevo	latin	0
Hostel MASSIMO	amenity	Sarajevo	latin	0
Hostel Miran	amenity	Mostar	latin	0
Hostel Musala	amenity	Mostar	latin	0
Hostel Nina	amenity	Mostar	latin	0
Hostel Residence	amenity	Sarajevo	latin	0
Hostel Room	amenity	Banja Luka	latin	0
Hot Pot	amenity	Mostar	latin	0
Hotel "Drina"	amenity	Bijeljina	latin	0
Hotel "Palas"	amenity	Sarajevo	latin	0
Hotel Ada	amenity	Bihać	latin	0
Hotel Apis	amenity	Trebinje	latin	0
Hotel Astra	amenity	Sarajevo	latin	0
Hotel Balkan	amenity	Prijedor	latin	0
Hotel Banja Luka	amenity	Banja Luka	latin	0
Hotel Behar	amenity	Goražde	latin	0
Hotel Bosna	amenity	Banja Luka	latin	0
Hotel Bosnia	amenity	Sarajevo	latin	0
Hotel Brass	amenity	Sarajevo	latin	0
Hotel Brčko Gas	amenity	Prijedor	latin	1
Hotel Brčko gas	amenity	Doboj	latin	1
Hotel Central Park	amenity	Trebinje	latin	0
Hotel Cosmopolit	amenity	Sarajevo	latin	0
Hotel Delminium	amenity	Sarajevo	latin	0
Hotel Dubrovnik	amenity	Zenica	latin	0
Hotel ETN	amenity	Sarajevo	latin	0
Hotel Emerald	amenity	Mostar	latin	0
Hotel Emporium	amenity	Bihać	latin	0
Hotel Espana	amenity	Sarajevo	latin	0
Hotel Exclusive	amenity	Sarajevo	latin	0
Hotel Grand	amenity	Sarajevo	latin	0
Hotel Hecco	amenity	Sarajevo	latin	0
Hotel INTEGRA	amenity	Doboj	latin	0
Hotel IUT	amenity	Travnik	latin	0
Hotel Imzit	amenity	Sarajevo	latin	0
Hotel Integra	amenity	Banja Luka	latin	0
Hotel Irmak	amenity	Sarajevo	latin	0
Hotel Italia	amenity	Sarajevo	latin	0
Hotel Jelena	amenity	Banja Luka	latin	0
Hotel Jezero	amenity	Sarajevo	latin	0
Hotel Kriva Ćuprija 1	amenity	Mostar	latin	1
Hotel Lena	amenity	Mostar	latin	0
Hotel Leotar	amenity	Trebinje	latin	0
Hotel Mepas	amenity	Mostar	latin	0
Hotel Nar	amenity	Trebinje	latin	0
Hotel Old Town Mostar	amenity	Mostar	latin	0
Hotel Opal	amenity	Bihać	latin	0
Hotel Palas - Restoran	amenity	Banja Luka	latin	0
Hotel Park	amenity	Bihać	latin	0
Hotel Paviljon	amenity	Bihać	latin	0
Hotel Pellegrino	amenity	Mostar	latin	0
Hotel Pino	amenity	Sarajevo	latin	0
Hotel Platani	amenity	Trebinje	latin	0
Hotel Plavi Zamak	amenity	Sarajevo	latin	0
Hotel President	amenity	Sarajevo	latin	0
Hotel Prijedor	amenity	Prijedor	latin	0
Hotel Rimski Most	amenity	Sarajevo	latin	0
Hotel SL Industry	amenity	Trebinje	latin	0
Hotel Salis	amenity	Tuzla	latin	0
Hotel Soni Lux	amenity	Tuzla	latin	0
Hotel Story	amenity	Sarajevo	latin	0
Hotel Sunce	amenity	Sarajevo	latin	0
Hotel Talija	amenity	Banja Luka	latin	0
Hotel Talija restoran	amenity	Banja Luka	latin	0
Hotel Tehnograd	amenity	Tuzla	latin	0
Hotel Terme	amenity	Sarajevo	latin	0
Hotel Tuzla	amenity	Tuzla	latin	0
Hotel Union	amenity	Sarajevo	latin	0
Hotel Vertigos	amenity	Tuzla	latin	0
Hotel Viv	amenity	Trebinje	latin	0
Hotel Zagreb	amenity	Sarajevo	latin	0
Hotel Zenica	amenity	Zenica	latin	0
Hotel old town	amenity	Sarajevo	latin	0
Hram Svete velikomučenice Nedelje	amenity	Brčko	latin	1
Hram Svetog Ilije	amenity	Prijedor	latin	0
Hram Uspenja Presvete Bogorodice	amenity	Tuzla	latin	0
Hram rođenja Presvete Bogorodice	amenity	Doboj	latin	1
Hram sv. Petke	amenity	Doboj	latin	0
Hram Покровa Пресвете Богородице	amenity	Zvornik	cyrillic	0
Hrasno	amenity	Sarajevo	latin	0
Hrisćanska adventistička crkva Banja Luka	amenity	Banja Luka	latin	1
Hrvatska Gospodarska Komora	amenity	Mostar	latin	0
Hrvatska pošta	amenity	Mostar	latin	1
Hrvatska udruga logoraša Domovinskog rata u Bosni i Hercegovini	amenity	Mostar	latin	1
Hrvatski dom "Kralj Tomislav"	amenity	Zenica	latin	0
Hrvatski dom "Petar Ajvazović"	amenity	Doboj	latin	1
Hrvatsko Kazalište Travnik	amenity	Travnik	latin	1
Hypo Kredit	amenity	Bihać	latin	0
Hyundai Auto BH	amenity	Sarajevo	latin	0
I LOVE TUZLA	amenity	Tuzla	latin	0
IBIS-caffe	amenity	Mostar	latin	0
ICMP - International Commission on Missing Persons	amenity	Tuzla	latin	0
IDDEEA	amenity	Banja Luka	latin	0
III. osnovna škola	amenity	Mostar	latin	1
IN	amenity	Tuzla	latin	0
INA	amenity	Tuzla	latin	0
INN	amenity	Sarajevo	latin	0
INOVA informatički inženjering, d.o.o.	amenity	Banja Luka	latin	1
IPIA (Internacionala, poslovno informaciona akademija)	amenity	Tuzla	latin	0
IRCE	amenity	Sarajevo	latin	0
IT Akademija Banja Luka	amenity	Banja Luka	latin	0
Ibis Styles	amenity	Sarajevo	latin	0
Ibn Sina	amenity	Tuzla	latin	0
Ibn Sina Slatina	amenity	Tuzla	latin	0
Ibn Sina apoteka	amenity	Tuzla	latin	0
IbnSina	amenity	Tuzla	latin	0
Ice Bar	amenity	Mostar	latin	0
Igra Mečka	amenity	Banja Luka	latin	1
Iguana sa sto lica	amenity	Mostar	latin	0
Il Mooro	amenity	Mostar	latin	0
Iljazović	amenity	Tuzla	latin	1
Ima Dana	amenity	Bijeljina	latin	0
Ima dana	amenity	Tuzla	latin	0
Imobilia RealEstate	amenity	Sarajevo	latin	0
Impasto	amenity	Sarajevo	latin	0
Importanne Centar	amenity	Sarajevo	latin	0
Impuls	amenity	Banja Luka	latin	0
In Bar	amenity	Bihać	latin	0
Incel - autopijaca	amenity	Cazin	latin	0
Indeks	amenity	Banja Luka	latin	0
Index	amenity	Banja Luka	latin	0
Industrijska Fontana	amenity	Zenica	latin	0
Info Centar Europske Unije	amenity	Mostar	latin	0
Infokarta Livno	amenity	Livno	latin	0
Infonet	amenity	Tuzla	latin	0
Information Una NP	amenity	Bihać	latin	0
Infuzija	amenity	Mostar	latin	0
Inka 2	amenity	Banja Luka	latin	0
Insomnija	amenity	Livno	latin	0
Institucije BiH	amenity	Mostar	latin	0
Institut za građevinarstvo "IG" d.o.o. Banja Luka	amenity	Banja Luka	latin	1
Institut za medicinsko vještačenje	amenity	Tuzla	latin	1
Integra	amenity	Banja Luka	latin	0
Integra Data centar	amenity	Banja Luka	latin	0
InterSoft d.o.o. Sarajevo	amenity	Sarajevo	latin	0
Intera Youth Centre	amenity	Mostar	latin	0
Interbutan	amenity	Bihać	latin	0
Interex	amenity	Sarajevo	latin	0
Interex Cafe	amenity	Bihać	latin	0
Intermeco	amenity	Tuzla	latin	0
Intermedik	amenity	Banja Luka	latin	0
Intermezzo	amenity	Mostar	latin	0
Internacionalni dijaliza centar	amenity	Bijeljina	latin	0
Internacionalni univerzitet Goražde	amenity	Goražde	latin	1
Internacionalni univerzitet Travnik	amenity	Travnik	latin	0
International primary school of Sarajevo	amenity	Sarajevo	latin	0
Internet Caffe Centar	amenity	Bihać	latin	0
Intesa San Paolo	amenity	Zenica	latin	0
Intesa San Paolo Banka	amenity	Livno	latin	0
Intesa Sanpaolo	amenity	Sarajevo	latin	0
Intesa Sanpaolo Bank	amenity	Sarajevo	latin	0
Intesa Sanpaolo Banka	amenity	Mostar	latin	0
Intesa Sao Paolo	amenity	Prijedor	latin	0
Intra doo	amenity	Mostar	latin	0
Irish Hotel	amenity	Bihać	latin	0
Irish Pub	amenity	Bihać	latin	0
Irish Pub HARP	amenity	Bijeljina	latin	0
Irish pub "Dublin"	amenity	Bijeljina	latin	0
Irsih Bar	amenity	Bihać	latin	0
Islamski kulturni centar Doboj	amenity	Doboj	latin	0
Islamski pedagoški fakultet	amenity	Bihać	latin	1
Ismar	amenity	Bihać	latin	0
Ispostava "Kreka"	amenity	Tuzla	latin	0
Italy	amenity	Banja Luka	latin	0
Iva	amenity	Banja Luka	latin	0
Iva apartments	amenity	Trebinje	latin	0
Ivankovića kolo	amenity	Trebinje	latin	1
Ivipharm	amenity	Banja Luka	latin	0
Ivo Andrić	amenity	Mostar	latin	1
Izazov	amenity	Tuzla	latin	0
Izletište "Prvi Borovi"	amenity	Cazin	latin	1
Izletište Barice	amenity	Sarajevo	latin	1
Izletište Rorovi	amenity	Goražde	latin	1
Izletište Studenac	amenity	Trebinje	latin	1
Izlog	amenity	Sarajevo	latin	0
Izvor pitke vode Bukovik	amenity	Zenica	latin	0
J.P. DEP-OT d.o.o., Regionalna deponija Banja Luka	amenity	Banja Luka	latin	0
J.U. Dom mladih Trebinje	amenity	Trebinje	latin	0
J.U. Dom penzionera u Trebinju	amenity	Trebinje	latin	0
J.U. Druga Gimnazija, J.U. Ekonomska škola Zenica	amenity	Zenica	latin	1
J.U. Gimnazija Cazin	amenity	Cazin	latin	0
JAZZ Radio Caffe	amenity	Sarajevo	latin	0
JKP "Komrad" d.o.o.	amenity	Bihać	latin	0
JKP 6. Mart	amenity	Goražde	latin	0
JKP Komrad Bihać	amenity	Bihać	latin	1
JKP Pannonica d.o.o. Tuzla	amenity	Tuzla	latin	0
JP "MOSTAR PARKING" d.o.o. Mostar	amenity	Mostar	latin	0
JP "Tržnica" Zenica	amenity	Zenica	latin	1
JP Autoceste FBiH	amenity	Mostar	latin	0
JP BH Pošta Alipašino Polje II	amenity	Sarajevo	latin	1
JP Ceste d.d. Mostar	amenity	Mostar	latin	0
JP Grijanje Zenica	amenity	Zenica	latin	0
JP Komunalno	amenity	Brčko	latin	0
JPU "Majke Jugović" - Centar 1	amenity	Doboj	latin	1
JPU "Majke Jugović" - Centar 2	amenity	Doboj	latin	1
JPŠ ŠUME RS a.d. Sokolac ŠG DOBOJ	amenity	Doboj	latin	1
JU "Kulturni centar"	amenity	Sarajevo	latin	0
JU Apoteka "12 april"	amenity	Zenica	latin	0
JU Dom mladih Tuzla	amenity	Tuzla	latin	0
JU Druga osnovna škola (PŠ Grčica)	amenity	Brčko	latin	1
JU Druga osnovna škola Brčko	amenity	Brčko	latin	1
JU Ekonomska škola Brčko	amenity	Brčko	latin	1
JU Gimnazija „Vaso Pelagić” Brčko	amenity	Brčko	latin	1
JU Medicinski školski centar	amenity	Tuzla	latin	1
JU Mješovita srednja škola Bihać	amenity	Bihać	latin	1
JU Mješovita srednje škola Zenica	amenity	Zenica	latin	1
JU Muzička škola Trebinje	amenity	Trebinje	latin	1
JU Osnovna škola Brčanska Malta	amenity	Tuzla	latin	1
JU Osnovna škola Centar	amenity	Tuzla	latin	1
JU Osnovna škola Jala	amenity	Tuzla	latin	1
JU Osnovna škola Pazar	amenity	Tuzla	latin	1
JU Osnovna škola Slavinovići	amenity	Tuzla	latin	1
JU Poljoprivredna i medicinska škola Brčko	amenity	Brčko	latin	1
JU Prva osnovna škola (PŠ Ilićka)	amenity	Brčko	latin	1
JU Služba za zapošljavanje	amenity	Tuzla	latin	1
JU Služba za zapošljavanje Kantona Sarajevo	amenity	Sarajevo	latin	1
JU Srednja ekonomska i ugostiteljsko-turistička škola	amenity	Mostar	latin	1
JU Srednja građevinska škola	amenity	Mostar	latin	1
JU „Centar za socijalni rad BPK Goražde“	amenity	Goražde	latin	1
JW.org - Dvorana Jehovinih svjedoka	amenity	Bihać	latin	0
JZU Bolnica Sveti apostol Luka Doboj	amenity	Doboj	latin	0
JZU Bolnica dr. Mladen Stojanović	amenity	Prijedor	latin	1
Jadranka	amenity	Banja Luka	latin	0
Jahorina osiguranje	amenity	Brčko	latin	0
Jalijska Džamija	amenity	Zenica	latin	1
Jalska (Mehmedagina) džamija	amenity	Tuzla	latin	1
Javna Kuhinja, Crveni Križ	amenity	Mostar	latin	1
Javna garaža Vidovdanska	amenity	Banja Luka	latin	1
Javna ustanova Putevi Brčko	amenity	Brčko	latin	1
Javni parking	amenity	Istočno Sarajevo	latin	0
Jazavac	amenity	Banja Luka	latin	0
Jazzwa	amenity	Brčko	latin	0
Jazzy Bell	amenity	Mostar	latin	0
Jelen Life Pub	amenity	Prijedor	latin	0
Jelena	amenity	Banja Luka	latin	0
Jelena Bulatović	amenity	Banja Luka	latin	1
Jelena Vukadinović	amenity	Banja Luka	latin	1
Jeni džamija	amenity	Travnik	latin	1
Jerry	amenity	Banja Luka	latin	0
Jevrejski kulturni centar "Arie Livne"	amenity	Banja Luka	latin	0
Jevrejski kulturni centar Bejt Šalom	amenity	Doboj	latin	1
Jezero Toplik	amenity	Istočno Sarajevo	latin	0
Jezero Toplik - MTB City road	amenity	Istočno Sarajevo	latin	0
Johny be good	amenity	Banja Luka	latin	0
Joker	amenity	Banja Luka	latin	0
Josip Broz Tito	amenity	Sarajevo	latin	0
Julius Meinl	amenity	Sarajevo	latin	0
Jump Jump	amenity	Mostar	latin	0
Jurišić&Celanić	amenity	Mostar	latin	1
Just Caffe	amenity	Tuzla	latin	0
Just Fumari	amenity	Sarajevo	latin	0
K Dent	amenity	Banja Luka	latin	0
K4	amenity	Banja Luka	latin	0
KAB	amenity	Banja Luka	latin	0
KALA-bar	amenity	Mostar	latin	0
KJKP Rad	amenity	Sarajevo	latin	0
KNEZ	amenity	Sarajevo	latin	0
KODEKS	amenity	Banja Luka	latin	0
KORZO	amenity	Zenica	latin	0
KPZ Tuzla	amenity	Tuzla	latin	0
KReDA kreativne radionice	amenity	Banja Luka	latin	0
KSB	amenity	Banja Luka	latin	0
KSET	amenity	Banja Luka	latin	0
Kabare	amenity	Banja Luka	latin	0
Kadar	amenity	Banja Luka	latin	0
Kafana	amenity	Sarajevo	latin	0
Kafana Ilinčica	amenity	Tuzla	latin	1
Kafana KS Knežević	amenity	Istočno Sarajevo	latin	1
Kafanica	amenity	Sarajevo	latin	0
Kafanica Laganica	amenity	Banja Luka	latin	0
Kafe Bar Brko	amenity	Trebinje	latin	0
Kafe Bar Maks	amenity	Zenica	latin	0
Kafe Bunker	amenity	Bijeljina	latin	0
Kafe Markan	amenity	Trebinje	latin	0
Kafe Mima	amenity	Trebinje	latin	0
Kafe Veslački klub Trebinje	amenity	Trebinje	latin	1
Kafe Vuk	amenity	Brčko	latin	0
Kafe bar	amenity	Bijeljina	latin	0
Kafe bar Gondola	amenity	Banja Luka	latin	0
Kafe galerija	amenity	Sarajevo	latin	0
Kafe poslastičarna "Balkan"	amenity	Prijedor	latin	1
Kafe-slastičarna ALDI	amenity	Mostar	latin	1
Kafeterija	amenity	Banja Luka	latin	0
Kafeterija 5	amenity	Banja Luka	latin	0
Kafeterija Arabika	amenity	Banja Luka	latin	0
Kafeterija Brčko 1	amenity	Brčko	latin	1
Kafeterija Brčko 2	amenity	Brčko	latin	1
Kafeterija by Miscela	amenity	Banja Luka	latin	0
Kafeterija by Miscela 2	amenity	Banja Luka	latin	0
Kajak	amenity	Banja Luka	latin	0
Kajtazova kuća	amenity	Mostar	latin	1
Kakadu	amenity	Banja Luka	latin	0
Kaktus	amenity	Livno	latin	0
Kala Bar	amenity	Mostar	latin	0
Kaldrama	amenity	Mostar	latin	0
Kaldrma 1929	amenity	Banja Luka	latin	0
Kali	amenity	Banja Luka	latin	0
Kambera	amenity	Sarajevo	latin	0
Kamel	amenity	Banja Luka	latin	0
Kameleon	amenity	Sarajevo	latin	0
Kamene oči	amenity	Trebinje	latin	1
Kamenjara	amenity	Prijedor	latin	0
Kamerni Teatar 55	amenity	Sarajevo	latin	0
Kampus Tuzla	amenity	Tuzla	latin	0
Kantonalna Bolnica Goražde	amenity	Goražde	latin	1
Kantonalna bolnica "Dr. Irfan Ljubijankić"	amenity	Bihać	latin	1
Kantonalna i Univerzitetska biblioteka	amenity	Bihać	latin	0
Kantonalna privredna komora	amenity	Tuzla	latin	0
Kantonalni Porezni Ured Zenica	amenity	Zenica	latin	0
Kantonalni Sud	amenity	Goražde	latin	0
Kantonalni arhiv Travnik	amenity	Travnik	latin	0
Kantonalni i Općinski sud Tuzla	amenity	Tuzla	latin	1
Kantonalno Tužilaštvo Tuzlanskog kantona	amenity	Tuzla	latin	1
Kantonalno ministarstvo za unutrašnje poslove	amenity	Goražde	latin	1
Kantonalno tužilaštvo USK-a	amenity	Bihać	latin	1
Kantonalno tužiteljstvo Zeničko dobojskog kantona	amenity	Zenica	latin	1
Kapela	amenity	Travnik	latin	0
Kapela Djeteta Isusa	amenity	Livno	latin	0
Kapela G. Grabovica	amenity	Tuzla	latin	0
Kapela sv. Dominika	amenity	Goražde	latin	0
Kapela sv. Križa	amenity	Bihać	latin	1
Kapela sv. Mihaela	amenity	Livno	latin	0
Kapela svetog Josipa	amenity	Livno	latin	0
Kapelica sv. Ivana Krstitelja	amenity	Travnik	latin	0
Kapelica sv. Lucije	amenity	Bihać	latin	0
Kapelica sv. Nikole Tavelića	amenity	Livno	latin	1
Kapetanova kula	amenity	Bihać	latin	0
Kapetanovina	amenity	Mostar	latin	0
Kapsula Waffle & Doner House	amenity	Sarajevo	latin	0
Karadeniz	amenity	Sarajevo	latin	0
Karamujić petrol	amenity	Brčko	latin	1
Karla	amenity	Mostar	latin	0
Karting	amenity	Mostar	latin	0
Karuzo	amenity	Sarajevo	latin	0
Kastel na Hendeku	amenity	Travnik	latin	0
Katedrala	amenity	Sarajevo	latin	0
Katera Trail – start	amenity	Istočno Sarajevo	latin	0
Katolička crkva Presvetog Srca Isusova	amenity	Brčko	latin	1
Katolički školski centar "Ivan Pavao II"	amenity	Bihać	latin	1
Katolički školski centar "Sv. Franjo" Tuzla	amenity	Tuzla	latin	1
Kayseri džamija	amenity	Goražde	latin	1
Kazamat	amenity	Banja Luka	latin	0
Kazino RM-co	amenity	Brčko	latin	0
Kazneni popravni zavod PT Bihać	amenity	Bihać	latin	1
Kazneno popravni zavod "Trebinje"	amenity	Trebinje	latin	0
Kazneno-popravni dom Zenica	amenity	Zenica	latin	0
Kazneno-popravni zavod Bijeljina	amenity	Bijeljina	latin	0
Kebab 2.0	amenity	Mostar	latin	0
Kebab House	amenity	Bihać	latin	0
Kedaš	amenity	Sarajevo	latin	1
Kekec	amenity	Sarajevo	latin	0
Keso Promet	amenity	Zvornik	latin	0
Kibe	amenity	Sarajevo	latin	0
Kineska ambasada	amenity	Sarajevo	latin	0
Kineski restoran Zhonghua	amenity	Bijeljina	latin	0
King	amenity	Prijedor	latin	0
Kings	amenity	Banja Luka	latin	0
Kino "Una"	amenity	Bihać	latin	0
Kino Apollo	amenity	Sarajevo	latin	0
Kino Bosna	amenity	Sarajevo	latin	0
Kino Kaleidoskop	amenity	Tuzla	latin	0
Kino Narodnog sveučilišta	amenity	Livno	latin	1
Klašnik	amenity	Banja Luka	latin	1
Klinika za fizikalnu terapiju i rehabilitaciju	amenity	Tuzla	latin	0
Klinika za infektivne i spolne bolesti	amenity	Mostar	latin	0
Klinika za plućne bolesti	amenity	Tuzla	latin	1
Kloster	amenity	Travnik	latin	0
Klub 22	amenity	Banja Luka	latin	0
Klub KOD SUCE	amenity	Sarajevo	latin	0
Klub Kariola	amenity	Mostar	latin	0
Klub Muzej	amenity	Sarajevo	latin	0
Klub umirovljenika Livno	amenity	Livno	latin	0
Klub umjetnika	amenity	Banja Luka	latin	0
Knjižnica Franjevačke teologije	amenity	Sarajevo	latin	1
Knjižnica Studentskog centra	amenity	Mostar	latin	1
Kockica	amenity	Sarajevo	latin	0
Kod Bate	amenity	Zenica	latin	0
Kod Bibana	amenity	Sarajevo	latin	0
Kod Borisa	amenity	Tuzla	latin	0
Kod Brke	amenity	Banja Luka	latin	0
Kod Dine	amenity	Brčko	latin	0
Kod Huse	amenity	Brčko	latin	0
Kod JOPE	amenity	Livno	latin	0
Kod Mame	amenity	Banja Luka	latin	0
Kod Muje	amenity	Banja Luka	latin	0
Kod Muje Bejzinog	amenity	Bihać	latin	0
Kod Naneta	amenity	Sarajevo	latin	0
Kod Pucana	amenity	Sarajevo	latin	0
Kod Soče	amenity	Mostar	latin	1
Kod Spomenka	amenity	Sarajevo	latin	0
Kod Tome	amenity	Tuzla	latin	0
Kodiak burger&steak	amenity	Banja Luka	latin	0
Kofein	amenity	Prijedor	latin	0
Kogo	amenity	Sarajevo	latin	0
Kokoda	amenity	Sarajevo	latin	0
Koliba 74	amenity	Sarajevo	latin	0
Kolo Stare bašče	amenity	Trebinje	latin	1
Kolo na Boku	amenity	Trebinje	latin	0
Kolo Čavline	amenity	Trebinje	latin	1
Komercijalna banka	amenity	Banja Luka	latin	0
Komovi	amenity	Trebinje	latin	0
Komshilook	amenity	Sarajevo	latin	0
Komunalno	amenity	Brčko	latin	0
Komunalno a.d. Trebinje	amenity	Trebinje	latin	0
Konak	amenity	Sarajevo	latin	0
Konak - Bečka Kafana	amenity	Travnik	latin	1
Konak II - Bečka Kafana	amenity	Travnik	latin	1
Konak Kod Hame	amenity	Bihać	latin	0
Konak kod Danke	amenity	Trebinje	latin	0
Konak na Uni	amenity	Bihać	latin	0
Konaturska džamija	amenity	Travnik	latin	1
Koncept	amenity	Banja Luka	latin	0
Konj	amenity	Sarajevo	latin	0
Konoba "Grazia"	amenity	Doboj	latin	0
Konoba "Plava voda"	amenity	Travnik	latin	0
Konoba "Tenis"– SEZAM 4	amenity	Tuzla	latin	0
Konoba "U srcu Hercegovine"	amenity	Trebinje	latin	0
Konoba Bosanka	amenity	Goražde	latin	0
Konoba Jelen	amenity	Prijedor	latin	0
Konoba Kuma	amenity	Banja Luka	latin	0
Konoba Podrum	amenity	Mostar	latin	0
Kontrast	amenity	Brčko	latin	0
Konyali	amenity	Sarajevo	latin	0
Konzilarna kancelarija Republike Srbije u Trebinju	amenity	Trebinje	latin	0
Konzulat Republike Hrvatske	amenity	Livno	latin	0
Konzum parking	amenity	Sarajevo	latin	0
Končar Mostar	amenity	Mostar	latin	1
Kort Restaurant	amenity	Brčko	latin	0
Koski bašta	amenity	Mostar	latin	1
Kosta	amenity	Bihać	latin	0
Kostadinović	amenity	Banja Luka	latin	1
Kozarski vjesnik	amenity	Prijedor	latin	0
Koča kolo	amenity	Trebinje	latin	1
Kočevska džamija	amenity	Zenica	latin	1
Koševsko brdo	amenity	Sarajevo	latin	1
Krajina	amenity	Bihać	latin	0
Krajina Taxi	amenity	Bihać	latin	0
Krajinapetrol	amenity	Banja Luka	latin	0
Kralj	amenity	Banja Luka	latin	0
Kraljica Katarina	amenity	Mostar	latin	0
Kranjčevićeva	amenity	Sarajevo	latin	1
Kreativna radionica	amenity	Tuzla	latin	0
Krečanska	amenity	Tuzla	latin	1
Kristov kip	amenity	Banja Luka	latin	0
Kriva Ćuprija	amenity	Mostar	latin	1
Kriva Ćuprija II	amenity	Mostar	latin	1
Križ - MTB City road	amenity	Istočno Sarajevo	latin	1
Križni put - I.	amenity	Mostar	latin	1
Križni put - II.	amenity	Mostar	latin	1
Križni put - III.	amenity	Mostar	latin	1
Križni put - IV.	amenity	Mostar	latin	1
Križni put - IX.	amenity	Mostar	latin	1
Križni put - V.	amenity	Mostar	latin	1
Križni put - VI.	amenity	Mostar	latin	1
Križni put - VII.	amenity	Mostar	latin	1
Križni put - VIII.	amenity	Mostar	latin	1
Križni put - X.	amenity	Mostar	latin	1
Križni put - XI.	amenity	Mostar	latin	1
