clip	reference	terms	categories	spoken_forms	hr_variants	sr_variants	croatian_reference	serbian_reference
00138.wav	Blogovi mogu također pomoći kod poboljšanja vještine pisanja učenika. Iako učenici često započinju svoje iskustvo na blogu nemarnom gramatikom i pravopisom, prisutnost publike to obično mijenja.	vještine|mijenja	yat|yat	vještine|mijenja	|	veštine|menja	Blogovi mogu također pomoći kod poboljšanja vještine pisanja učenika. Iako učenici često započinju svoje iskustvo na blogu nemarnom gramatikom i pravopisom, prisutnost publike to obično mijenja.	Blogovi mogu također pomoći kod poboljšanja veštine pisanja učenika. Iako učenici često započinju svoje iskustvo na blogu nemarnom gramatikom i pravopisom, prisutnost publike to obično menja.
00139.wav	Imaju stopala sa lustrom i kandžama, polažu jaja i hodaju na zadnje dvije noge kao T-reks.	zadnje|dvije	lex|yat	zadnje|dvije	|	poslednje|dve	Imaju stopala sa lustrom i kandžama, polažu jaja i hodaju na zadnje dvije noge kao T-reks.	Imaju stopala sa lustrom i kandžama, polažu jaja i hodaju na poslednje dve noge kao T-reks.
00144.wav	Izleti su značajan dio svakog razreda. Često bi učiteljica voljela odvesti svoje učenike na mjesta do kojih putovanje autobusom nije opcija.	dio|mjesta	lex|yat	dio|mjesta	|	deo|mesta	Izleti su značajan dio svakog razreda. Često bi učiteljica voljela odvesti svoje učenike na mjesta do kojih putovanje autobusom nije opcija.	Izleti su značajan deo svakog razreda. Često bi učiteljica voljela odvesti svoje učenike na mesta do kojih putovanje autobusom nije opcija.
00146.wav	Doba u kojem su se ti događaji dešavali obično se nazivaju srednjovjekovnim periodom evropske historije u 11.,12., i 13. vijeku (AD 1000–1300).	periodom|evropom	lex|lex	periodom|evropske	razdobljem|europske	|	Doba u kojem su se ti događaji dešavali obično se nazivaju srednjovjekovnim razdobljem europske historije u 11.,12., i 13. vijeku (AD 1000–1300).	Doba u kojem su se ti događaji dešavali obično se nazivaju srednjovjekovnim periodom evropske historije u 11.,12., i 13. vijeku (AD 1000–1300).
00147.wav	Visina slobodnog prolaza ispod mosta iznosi 15 metara. Izgradnja je završena u avgustu 2011. godine, ali most nije bio otvoren za saobraćaj do marta 2017. godine.	marta	lex	marta	ožujka		Visina slobodnog prolaza ispod mosta iznosi 15 metara. Izgradnja je završena u avgustu 2011. godine, ali most nije bio otvoren za saobraćaj do ožujka 2017. godine.	Visina slobodnog prolaza ispod mosta iznosi 15 metara. Izgradnja je završena u avgustu 2011. godine, ali most nije bio otvoren za saobraćaj do marta 2017. godine.
00150.wav	Ranije je pušteno šest talaca, uključujući djecu, starije i fotografe s Filipina.	djecu	yat	djecu		decu	Ranije je pušteno šest talaca, uključujući djecu, starije i fotografe s Filipina.	Ranije je pušteno šest talaca, uključujući decu, starije i fotografe s Filipina.
00152.wav	Samo vozilo istog je dana odvedeno s mjesta nesreće u oko 12:00 po Greenwich vremenu.	mjesta	yat	mjesta		mesta	Samo vozilo istog je dana odvedeno s mjesta nesreće u oko 12:00 po Greenwich vremenu.	Samo vozilo istog je dana odvedeno s mesta nesreće u oko 12:00 po Greenwich vremenu.
00154.wav	Sve imenice, zajedno sa riječi Sie za „ti“, uvijek se pišu velikim početnim slovom, čak i u sredini rečenice.	uvijek	yat	uvijek		uvek	Sve imenice, zajedno sa riječi Sie za „ti“, uvijek se pišu velikim početnim slovom, čak i u sredini rečenice.	Sve imenice, zajedno sa riječi Sie za „ti“, uvek se pišu velikim početnim slovom, čak i u sredini rečenice.
00157.wav	Ostale nominacije uključuju nominaciju za najbolji film, režisera, fotografiju, kostimografiju, montažu, originalnu muziku, scenografiju, uređivanje zvuka, miksanje zvuka i originalni scenarij.	muziku	lex	muziku	glazbu		Ostale nominacije uključuju nominaciju za najbolji film, režisera, fotografiju, kostimografiju, montažu, originalnu glazbu, scenografiju, uređivanje zvuka, miksanje zvuka i originalni scenarij.	Ostale nominacije uključuju nominaciju za najbolji film, režisera, fotografiju, kostimografiju, montažu, originalnu muziku, scenografiju, uređivanje zvuka, miksanje zvuka i originalni scenarij.
00158.wav	Civilizacija je jedna kultura koju dijeli velika grupa ljudi koji žive i rade zajedno, društvo.	dijeli	yat	dijeli		deli	Civilizacija je jedna kultura koju dijeli velika grupa ljudi koji žive i rade zajedno, društvo.	Civilizacija je jedna kultura koju deli velika grupa ljudi koji žive i rade zajedno, društvo.
00159.wav	Pisanje blogova je alat koji inspirira saradnju i potiče učenike da prošire proces učenja i nakon tradicionalnog školskog dana.	saradnja	lex	saradnju	suradnju		Pisanje blogova je alat koji inspirira suradnju i potiče učenike da prošire proces učenja i nakon tradicionalnog školskog dana.	Pisanje blogova je alat koji inspirira saradnju i potiče učenike da prošire proces učenja i nakon tradicionalnog školskog dana.
00160.wav	Otok Hong Kong dao je teritoriji Hong Kong svoje ime i predstavlja mjesto koje mnogi turisti smatraju glavnom tačkom posjete.	posjeta	yat	posjete		posete	Otok Hong Kong dao je teritoriji Hong Kong svoje ime i predstavlja mjesto koje mnogi turisti smatraju glavnom tačkom posjete.	Otok Hong Kong dao je teritoriji Hong Kong svoje ime i predstavlja mjesto koje mnogi turisti smatraju glavnom tačkom posete.
00162.wav	Jednostavna popularna večera, posebno u toku ljeta, je Pa amb Oli - hljeb s maslinovim uljem, paradajzom i svim dostupnim začinima i prilozima kao što su sir, tuna, itd.	toku	lex	toku	tijeku		Jednostavna popularna večera, posebno u tijeku ljeta, je Pa amb Oli - hljeb s maslinovim uljem, paradajzom i svim dostupnim začinima i prilozima kao što su sir, tuna, itd.	Jednostavna popularna večera, posebno u toku ljeta, je Pa amb Oli - hljeb s maslinovim uljem, paradajzom i svim dostupnim začinima i prilozima kao što su sir, tuna, itd.
00166.wav	Površina Mjeseca sastoji se od stijena i prašine. Vanjski sloj Mjeseca naziva se kora.	mjesec	yat	mjeseca		meseca	Površina Mjeseca sastoji se od stijena i prašine. Vanjski sloj Mjeseca naziva se kora.	Površina meseca sastoji se od stijena i prašine. Vanjski sloj meseca naziva se kora.
00168.wav	Vatikan ima oko 800 stanovnika. To je najmanja nezavisna država na svijetu i država s najmanjim brojem stanovnika.	svijet	yat	svijetu		svetu	Vatikan ima oko 800 stanovnika. To je najmanja nezavisna država na svijetu i država s najmanjim brojem stanovnika.	Vatikan ima oko 800 stanovnika. To je najmanja nezavisna država na svetu i država s najmanjim brojem stanovnika.
00171.wav	Ako želite biti blizu akcije, morat ćete ući rano kako biste zauzeli mjesto za kampiranje blizu muzike.	morat	lex	morat		moraće	Ako želite biti blizu akcije, morat ćete ući rano kako biste zauzeli mjesto za kampiranje blizu muzike.	Ako želite biti blizu akcije, moraće ćete ući rano kako biste zauzeli mjesto za kampiranje blizu muzike.
00174.wav	Na primjer, najčešći format statične slike na svijetu je 35 mm, koji je dominirao na kraju perioda analognog filma.	svijet	yat	svijetu		svetu	Na primjer, najčešći format statične slike na svijetu je 35 mm, koji je dominirao na kraju perioda analognog filma.	Na primjer, najčešći format statične slike na svetu je 35 mm, koji je dominirao na kraju perioda analognog filma.
00175.wav	Općenito govoreći, mogu se pojaviti dvije vrste ponašanja kada menadžeri počnu voditi svoje nekadašnje vršnjake. Na jednom kraju spektra je pokušaj da ostanu „jedan od momaka“ (ili djevojaka).	dvije	yat	dvije		dve	Općenito govoreći, mogu se pojaviti dvije vrste ponašanja kada menadžeri počnu voditi svoje nekadašnje vršnjake. Na jednom kraju spektra je pokušaj da ostanu „jedan od momaka“ (ili djevojaka).	Općenito govoreći, mogu se pojaviti dve vrste ponašanja kada menadžeri počnu voditi svoje nekadašnje vršnjake. Na jednom kraju spektra je pokušaj da ostanu „jedan od momaka“ (ili djevojaka).
00176.wav	Ova usluga se često koristi u prevozu tereta brodom, uključujući rekreativna plovila, kao i u ekspedicijama koje imaju potrebe za razmjenu podataka i glasovnih poruka na daljinu.	razmjene	yat	razmjenu		razmenu	Ova usluga se često koristi u prevozu tereta brodom, uključujući rekreativna plovila, kao i u ekspedicijama koje imaju potrebe za razmjenu podataka i glasovnih poruka na daljinu.	Ova usluga se često koristi u prevozu tereta brodom, uključujući rekreativna plovila, kao i u ekspedicijama koje imaju potrebe za razmenu podataka i glasovnih poruka na daljinu.
00178.wav	Profesorica Pamela Ferguson sa Univerziteta Dundee napominje da „izgleda da novinari zaista hodaju po tankoj liniji ako objavljuju fotografije osumnjičenih.“	profesorica|univerziteta	lex|lex	profesorica|univerziteta	|sveučilišta	profesorka|	Profesorica Pamela Ferguson sa sveučilišta Dundee napominje da „izgleda da novinari zaista hodaju po tankoj liniji ako objavljuju fotografije osumnjičenih.“	profesorka Pamela Ferguson sa Univerziteta Dundee napominje da „izgleda da novinari zaista hodaju po tankoj liniji ako objavljuju fotografije osumnjičenih.“
00183.wav	Iako je Goma razumno sigurna, sve posjete van Gome bi se trebale istražiti kako bi se razumjelo stanje borbi koje traju u provinciji Sjeverni Kivu.	posjeta|sjeveru	yat|yat	posjete|sjeverni	|	posete|severni	Iako je Goma razumno sigurna, sve posjete van Gome bi se trebale istražiti kako bi se razumjelo stanje borbi koje traju u provinciji Sjeverni Kivu.	Iako je Goma razumno sigurna, sve posete van Gome bi se trebale istražiti kako bi se razumjelo stanje borbi koje traju u provinciji severni Kivu.
00184.wav	Istraživanjem iz dvadesetog stoljeća ukazalo se na činjenicu da postoje dvije vrste genetske varijacije: skrivena i izražena.	dvije	yat	dvije		dve	Istraživanjem iz dvadesetog stoljeća ukazalo se na činjenicu da postoje dvije vrste genetske varijacije: skrivena i izražena.	Istraživanjem iz dvadesetog stoljeća ukazalo se na činjenicu da postoje dve vrste genetske varijacije: skrivena i izražena.
00185.wav	Cuomo, star 53 godine, postao je guverner početkom ove godine i prošlog mjeseca je potpisao zakon kojim se legalizira istospolni brak.	mjesec	yat	mjeseca		meseca	Cuomo, star 53 godine, postao je guverner početkom ove godine i prošlog mjeseca je potpisao zakon kojim se legalizira istospolni brak.	Cuomo, star 53 godine, postao je guverner početkom ove godine i prošlog meseca je potpisao zakon kojim se legalizira istospolni brak.
00188.wav	To su ponekad prepune porodične plaže s dobrim asortimanom prodavnica koje se pružaju obalom. Plivanje je sigurno.	prodavnica	lex	prodavnica	prodavaonica		To su ponekad prepune porodične plaže s dobrim asortimanom prodavaonica koje se pružaju obalom. Plivanje je sigurno.	To su ponekad prepune porodične plaže s dobrim asortimanom prodavnica koje se pružaju obalom. Plivanje je sigurno.
00191.wav	Dodao je da „međutim, od njih ne bi trebalo tražiti da preuzmu obaveze koje prevazilaze njihovu fazu razvoja, odgovornosti i mogućnosti.“	obaveze	lex	obaveze	obveze		Dodao je da „međutim, od njih ne bi trebalo tražiti da preuzmu obveze koje prevazilaze njihovu fazu razvoja, odgovornosti i mogućnosti.“	Dodao je da „međutim, od njih ne bi trebalo tražiti da preuzmu obaveze koje prevazilaze njihovu fazu razvoja, odgovornosti i mogućnosti.“
00193.wav	Putnicima se savjetuje da budu svjesni svakog rizika prema kojem nevrijeme utječe na njihovo područje jer vremenske nepogode mogu utjecati na planove putovanja.	svjesna	yat	svjesni		svesni	Putnicima se savjetuje da budu svjesni svakog rizika prema kojem nevrijeme utječe na njihovo područje jer vremenske nepogode mogu utjecati na planove putovanja.	Putnicima se savjetuje da budu svesni svakog rizika prema kojem nevrijeme utječe na njihovo područje jer vremenske nepogode mogu utjecati na planove putovanja.
00197.wav	To su ponekad prepune porodične plaže s dobrim asortimanom prodavnica koje se pružaju obalom. Plivanje je sigurno.	prodavnica	lex	prodavnica	prodavaonica		To su ponekad prepune porodične plaže s dobrim asortimanom prodavaonica koje se pružaju obalom. Plivanje je sigurno.	To su ponekad prepune porodične plaže s dobrim asortimanom prodavnica koje se pružaju obalom. Plivanje je sigurno.
00198.wav	Segregacija i rekombinacija miješaju varijacije između te dvije baze u svakoj generaciji.	dvije	yat	dvije		dve	Segregacija i rekombinacija miješaju varijacije između te dvije baze u svakoj generaciji.	Segregacija i rekombinacija miješaju varijacije između te dve baze u svakoj generaciji.
