case_id	source	bs	en	terms	categories	accept_en	variant_bs	variant_swaps
flores-426	flores	Charles je bio prvi član britanske kraljevske porodice kojem je dodijeljena diploma.	Charles was the first member of the British Royal Family to be awarded a degree.	porodice	lex	family	Charles je bio prvi član britanske kraljevske obitelji kojem je dodijeljena diploma.	porodice>obitelji
flores-429	flores	Površina Turske, uključujući jezera, zauzima 783.562 kvadratna kilometra (300.948 kv. mi.), od čega se 755.688 kvadratnih kilometara (291.773 kv. mi.) nalazi u jugozapadnoj Aziji, a 23.764 kvadratnih kilometara (9.174 kv. mi.) u Evropi.	Turkey's area, including lakes, occupies 783,562 square kilometres (300,948 sq mi), of which 755,688 square kilometres (291,773 sq mi) are in south west Asia and 23,764 square kilometres (9,174 sq mi) in Europe.	evropi	lex	europe	Površina Turske, uključujući jezera, zauzima 783.562 kvadratna kilometra (300.948 kv. mi.), od čega se 755.688 kvadratnih kilometara (291.773 kv. mi.) nalazi u jugozapadnoj Aziji, a 23.764 kvadratnih kilometara (9.174 kv. mi.) u Europi.	Evropi>Europi
flores-431	flores	Turska je okružena morima s tri strane: Egejsko more na zapadu, Crno more na sjeveru i Sredozemno more na jugu.	Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.	sjeveru	yat	north	Turska je okružena morima s tri strane: Egejsko more na zapadu, Crno more na severu i Sredozemno more na jugu.	sjeveru>severu
flores-433	flores	Današnji dijelovi Belgije u prošlosti su bili dio Luksemburga, ali nakon Belgijske revolucije do koje je došlo 1830-ih godina postali su dio Belgije.	Present-day parts of Belgium were part of Luxembourg in the past but became Belgian after the 1830s Belgian Revolution.	dijelovi	yat	parts	Današnji delovi Belgije u prošlosti su bili dio Luksemburga, ali nakon Belgijske revolucije do koje je došlo 1830-ih godina postali su dio Belgije.	dijelovi>delovi
flores-437	flores	Smatra se da je 1649. godine Zhabdrung Ngawang Namgyel izgradio tvrđavu u čast svoje pobjede protiv tibetansko-mongolskih sila.	It is said that in 1649, Zhabdrung Ngawang Namgyel created the fortress to commemorate his victory against the Tibetan-Mongol forces.	pobjede	yat	victory	Smatra se da je 1649. godine Zhabdrung Ngawang Namgyel izgradio tvrđavu u čast svoje pobede protiv tibetansko-mongolskih sila.	pobjede>pobede
flores-448	flores	Svake godine oko mjeseca oktobra skoro 1,5 milion biljojeda zbog kiše migrira sa sjevernih brda ka južnim nizijama, prelazeći preko rijeke Mara.	Every year around October nearly 1.5 million herbivores travel towards the southern plains, crossing the Mara River, from the northern hills for the rains.	oktobra|rijeke	lex|yat	october|river	Svake godine oko mjeseca listopada skoro 1,5 milion biljojeda zbog kiše migrira sa sjevernih brda ka južnim nizijama, prelazeći preko reke Mara.	oktobra>listopada|rijeke>reke
flores-449	flores	A onda nazad na sjever u pravcu zapada, ponovo prelazeći rijeku Maru, nakon kiša oko aprila.	And then back to the north through the west, once again crossing the Mara river, after the rains in around April.	aprila	lex	april	A onda nazad na sjever u pravcu zapada, ponovo prelazeći rijeku Maru, nakon kiša oko travnja.	aprila>travnja
flores-451	flores	Učenje kreiranja interaktivnih medija zahtijeva konvencionalne i tradicionalne vještine, kao i alate koji su naučeni u interaktivnoj nastavi (uređivanje priča, uređivanje audio i videozapisa, pripovijedanje priča itd.)	Learning to create interactive media requires conventional and traditional skills, as well as tools mastered in interactive classes (storyboarding, audio and video editing, story telling, etc.)	zahtijeva|vještine	yat|yat	requires|skills	Učenje kreiranja interaktivnih medija zahteva konvencionalne i tradicionalne veštine, kao i alate koji su naučeni u interaktivnoj nastavi (uređivanje priča, uređivanje audio i videozapisa, pripovijedanje priča itd.)	zahtijeva>zahteva|vještine>veštine
flores-465	flores	Čak i ako stojite usred hiljadu godina starih ruševina, jednostavno je prizvati zvuke i mirise davnih borbi, skoro da možete čuti lupkanje kopita po kaldrmi i osjetiti strah iz tamnica.	Even standing amidst thousand year-old ruins it is easy to bring to mind the sounds and smells of battles long gone, to almost hear the clatter of hooves on the cobbles and to smell the fear rising from the dungeon pits.	hiljadu	lex	thousand	Čak i ako stojite usred tisuću godina starih ruševina, jednostavno je prizvati zvuke i mirise davnih borbi, skoro da možete čuti lupkanje kopita po kaldrmi i osjetiti strah iz tamnica.	hiljadu>tisuću
flores-473	flores	Ovo je prestavljalo važnu promjenu, jer evropske sile više nisu imale razlog da ratuju pod izgovorom da se radi o vjerskim ratovima. To znači da je Tridesetogodišnji rat bio posljednji rat koji se vodio kao vjerski rat.	This marked an important change, as European powers would no longer have the pretext of being religious wars. Thus, the Thirty Years' War would be the last war to be labeled a religious war.	promjenu	yat	change	Ovo je prestavljalo važnu promenu, jer evropske sile više nisu imale razlog da ratuju pod izgovorom da se radi o vjerskim ratovima. To znači da je Tridesetogodišnji rat bio posljednji rat koji se vodio kao vjerski rat.	promjenu>promenu
flores-474	flores	Hram Artemide u Efezu je srušen 21. jula 356. godine p.n.e. u požaru koji je podmetnuo Herostratus.	The temple of Artemis at Ephesus was destroyed on July 21, 356 BCE in an act of arson committed by Herostratus.	jula	lex	july	Hram Artemide u Efezu je srušen 21. srpnja 356. godine p.n.e. u požaru koji je podmetnuo Herostratus.	jula>srpnja
flores-492	flores	Civilizacija je procvjetala u slivu rijeke Ind, odakle njeno ime i potječe.	The civilisation flourished in the basins of the Indus River wherefore it derives its name.	rijeke	yat	river	Civilizacija je procvjetala u slivu reke Ind, odakle njeno ime i potječe.	rijeke>reke
flores-501	flores	Djeca prilično rano razvijaju svijest o rasi i rasnim stereotipima koji utječu na njihovo ponašanje.	Children develop an awareness of race and racial stereotypes quite young and these racial stereotypes affect behavior.	svijest	yat	awareness	Djeca prilično rano razvijaju svest o rasi i rasnim stereotipima koji utječu na njihovo ponašanje.	svijest>svest
flores-509	flores	To nije teškoća u učenju, nego poremećaj učenja. koji „pogađa 3 do 5 posto sve djece, a moguće čak i 2 miliona američke djece.“	"It is not a learning disability, it is a learning disorder; it ""affects 3 to 5 percent of all children, perhaps as many as 2 million American children""."	djece	yat	children	To nije teškoća u učenju, nego poremećaj učenja. koji „pogađa 3 do 5 posto sve dece, a moguće čak i 2 miliona američke dece.“	djece>dece
flores-513	flores	S obzirom na to da se sposobnost usvajanja znanja i učenja promijenila na prethodno naveden način, promijenila se i osnovna stopa usvajanja znanja.	As the ability to obtain knowledge and to learn changed in such a way as mentioned above the base rate at which knowledge was obtained changed.	promijenila	yat	changed	S obzirom na to da se sposobnost usvajanja znanja i učenja promenila na prethodno naveden način, promenila se i osnovna stopa usvajanja znanja.	promijenila>promenila
flores-520	flores	Neki ljudi vjeruju da mnogo umjetno izazvanih lucidnih snova često može biti iscrpljujuće.	Some people believe that experiencing many artificially induced lucid dreams often enough can be very exhausting.	vjeruju	yat	believe	Neki ljudi veruju da mnogo umjetno izazvanih lucidnih snova često može biti iscrpljujuće.	vjeruju>veruju
flores-525	flores	Italijanima u sjevernoj Africi stvari nisu baš najbolje krenule. U roku od jedne sedmice od italijanske objave rata 10. juna 1940. godine, britanska 11. husarska pukovnija zauzela je tvrđavu Capuzzo u Libiji.	Things did not go well for the Italians in North Africa almost from the start. Within a week of Italy's declaration of war on June 10, 1940, the British 11th Hussars had seized Fort Capuzzo in Libya.	sjevernoj|sedmice|juna	yat|lex|lex	north|week|june	Italijanima u severnoj Africi stvari nisu baš najbolje krenule. U roku od jedne sedmice od italijanske objave rata 10. lipnja 1940. godine, britanska 11. husarska pukovnija zauzela je tvrđavu Capuzzo u Libiji.	sjevernoj>severnoj|juna>lipnja
flores-527	flores	Maršal Italo Balbo, generalni guverner Libije i očigledni Mussolinijev nasljednik, ubijen je 28. juna od prijateljske vatre dok je slijetao u Tobruk.	On June 28, Marshal Italo Balbo, the Governor-General of Libya and apparent heir to Mussolini, was killed by friendly fire while landing in Tobruk.	juna	lex	june	Maršal Italo Balbo, generalni guverner Libije i očigledni Mussolinijev nasljednik, ubijen je 28. lipnja od prijateljske vatre dok je slijetao u Tobruk.	juna>lipnja
flores-528	flores	Moderno mačevanje se prakticira na mnogo nivoa, od studenata koji ga uče na univerzitetu do profesionalnih i olimpijskih takmičenja.	The modern sport of fencing is played at many levels, from students learning at a university to professional and Olympic competition.	univerzitetu	lex	university		
flores-535	flores	To je kada ljudi odlaze na neko mjesto koje se značajno razlikuje od njihovog svakodnevnog života da bi se opustili i zabavili.	This is when people go to a place that is very different from their regular day-to-day life to relax and have fun.	mjesto	yat	place	To je kada ljudi odlaze na neko mesto koje se značajno razlikuje od njihovog svakodnevnog života da bi se opustili i zabavili.	mjesto>mesto
flores-537	flores	Ukoliko je cilj posjete određenoj destinaciji upoznavanje njene historije i kulture, ta vrsta turizma se naziva kulturni turizam.	If the objective of one’s visit to a particular place is to get to know its history and culture then this type of tourism is known as cultural tourism.	posjete|historije	yat|lex	visit|history	Ukoliko je cilj posete određenoj destinaciji upoznavanje njene istorije i kulture, ta vrsta turizma se naziva kulturni turizam.	posjete>posete|historije>istorije
flores-542	flores	Kada je plima uzrokovala pukotinu duž rijeke Mystic, sjeveroistočno od poluostrva, oni su brzo produžili ogradu kratkim kamenim zidom u pravcu sjevera koji se završava na maloj plaži.	When low tide opened a gap along the Mystic River along the northeast of the peninsula, they quickly extended the fence with a short stone wall to the north ending at the water's edge on a small beach.	sjevera	yat	north	Kada je plima uzrokovala pukotinu duž rijeke Mystic, sjeveroistočno od poluostrva, oni su brzo produžili ogradu kratkim kamenim zidom u pravcu severa koji se završava na maloj plaži.	sjevera>severa
flores-549	flores	Naravno, vrhunski polumaratonac, čovjek koji može oboriti rekord od dvije minute, mora imati priličnu brzinu, ali po svaku cijenu mora održavati izdržljivost.	Of course a first-class half-miler, a man who can beat two minutes, must be possessed of a fair amount of speed, but endurance must be cultivated at all hazards.	čovjek	yat	man	Naravno, vrhunski polumaratonac, čovek koji može oboriti rekord od dvije minute, mora imati priličnu brzinu, ali po svaku cijenu mora održavati izdržljivost.	čovjek>čovek
flores-550	flores	Najbolja priprema za sezonu trčanja je trčanje po cijeloj zemlji za vrijeme zime i treniranje gornjeg dijela tijela u teretanama.	Some cross country running during the winter, combined with gymnasium work for the upper part of the body, is the best preparation for the running season.	dijela	yat	part	Najbolja priprema za sezonu trčanja je trčanje po cijeloj zemlji za vrijeme zime i treniranje gornjeg dela tijela u teretanama.	dijela>dela
flores-552	flores	Održavanje zdrave energetske ravnoteže, prakticiranje učinkovitih navika hidratacije i razumijevanje različitih aspekata prakse koja se odnosi na korištenje suplemenata mogu pomoći sportistima da poboljšaju rezultate i povećaju uživanje u sportu.	Maintaining a healthy energy balance, practicing effective hydration habits, and understanding the various aspects of supplementation practices can help athletes improve their performance and increase their enjoyment of the sport.	razumijevanje	yat	understanding	Održavanje zdrave energetske ravnoteže, prakticiranje učinkovitih navika hidratacije i razumevanje različitih aspekata prakse koja se odnosi na korištenje suplemenata mogu pomoći sportistima da poboljšaju rezultate i povećaju uživanje u sportu.	razumijevanje>razumevanje
flores-576	flores	Šta je ćelija? Riječ ćelija dolazi od latinske riječi „cella“, što znači „mala soba“, a prvi put ju je iskoristio jedan mikroskopista dok je promatrao strukturu pluta.	"What is a cell? The word cell comes from the Latin word ""cella"", meaning ""small room"", and it was first coined by a microscopist observing the structure of cork."	riječ	yat	word	Šta je ćelija? Reč ćelija dolazi od latinske riječi „cella“, što znači „mala soba“, a prvi put ju je iskoristio jedan mikroskopista dok je promatrao strukturu pluta.	Riječ>Reč
flores-580	flores	Ovi nervni impulsi mogu da se tako brzo pošalju po cijelom tijelu što pomaže da se tijelo sačuva od potencijalnih prijetnji.	These nerve impulses can be sent so quickly throughout the body which helps keep the body safe from any potential threat.	cijelom	yat	throughout	Ovi nervni impulsi mogu da se tako brzo pošalju po celom tijelu što pomaže da se tijelo sačuva od potencijalnih prijetnji.	cijelom>celom
flores-584	flores	Ljudi prave i koriste sočiva za povećanje hiljadama godina.	Humans have been making and using lenses for magnification for thousands and thousands of years.	hiljadama	lex	thousands	Ljudi prave i koriste sočiva za povećanje tisućama godina.	hiljadama>tisućama
flores-585	flores	Međutim, prvi pravi teleskopi su napravljeni krajem 16. stoljeća u Evropi.	However, the first true telescopes were made in Europe in the late 16th century.	evropi	lex	europe	Međutim, prvi pravi teleskopi su napravljeni krajem 16. stoljeća u Europi.	Evropi>Europi
flores-596	flores	Riječ ćelija vodi porijeklo od latinske riječi cella, što znači mala soba.	Cell comes from the Latin word cella which means small room.	riječ	yat	word	Reč ćelija vodi porijeklo od latinske riječi cella, što znači mala soba.	Riječ>Reč
flores-600	flores	Elementi i spojevi mogu prelaziti iz jednog stanja u drugo a da se ne mijenjaju.	Elements and compounds can move from one state to another and not change.	mijenjaju	yat	change	Elementi i spojevi mogu prelaziti iz jednog stanja u drugo a da se ne menjaju.	mijenjaju>menjaju
flores-602	flores	Voda predstavlja još jedan primjer. Voda je sačinjena od dva atoma vodika i jednog atoma kisika.	Water is another example. The compound water is made up of two hydrogen atoms and one oxygen atom.	primjer	yat	example	Voda predstavlja još jedan primer. Voda je sačinjena od dva atoma vodika i jednog atoma kisika.	primjer>primer
flores-604	flores	Iako njegovo fizičko stanje može da se promijeni, njegovo hemijsko stanje ostaje isto.	Although its physical state may change, its chemical state remains the same.	hemijsko	lex	chemical	Iako njegovo fizičko stanje može da se promijeni, njegovo kemijsko stanje ostaje isto.	hemijsko>kemijsko
flores-606	flores	Vjerski, filozofski i naučni učenjaci su hiljadama godina proučavali vrijeme.	Time has been studied by religious, philosophical, and scientific scholars for thousands of years.	hiljadama	lex	thousands	Vjerski, filozofski i naučni učenjaci su tisućama godina proučavali vrijeme.	hiljadama>tisućama
flores-619	flores	Slušajući pojedince kako dijele lične, porodične i organizacijske priče, dobili smo vrijedan uvid u prošlost i neke od ličnosti koje su imale dobar ili loš utjecaj na kulturu organizacije.	While listening to individuals share their individual, family, and organizational stories, we gained valuable insight into the past and some of the personalities who influenced for good or ill the culture of the organization.	porodične	lex	family		
flores-620	flores	Iako razumijevanje nečije historije ne podrazumijeva razumijevanje kulture, ono bar pomaže ljudima da steknu osjećaj gdje pripadaju u historiji organizacije.	While understanding one’s history does not assume understanding of culture, it does at least help people gain a sense of where they fall within the history of the organization.	razumijevanje|historije|osjećaj|historiji	yat|lex|yat|lex	understanding|history|sense|history	Iako razumevanje nečije istorije ne podrazumijeva razumevanje kulture, ono bar pomaže ljudima da steknu osećaj gdje pripadaju u istoriji organizacije.	razumijevanje>razumevanje|historije>istorije|osjećaj>osećaj|historiji>istoriji
flores-621	flores	Procjenjujući uspjeh i postajući svjesni neuspjeha, pojedinci i osobe koje su učestvovale kao cjelina dublje otkrivaju vrijednosti, zadatak i pokretačke snage te organizacije.	While assessing the successes and becoming aware of failures, individuals and the whole of the participating persons discover more deeply the values, mission, and driving forces of the organization.	vrijednosti	yat	values	Procjenjujući uspjeh i postajući svjesni neuspjeha, pojedinci i osobe koje su učestvovale kao cjelina dublje otkrivaju vrednosti, zadatak i pokretačke snage te organizacije.	vrijednosti>vrednosti
flores-622	flores	U ovom slučaju, podsjećanje na prethodne primjere preduzetničkog ponašanja i uspjeha koji je s tim ponašanjem povezan, pomoglo je ljudima da budu otvoreni prema novim promjenama i novom smjeru za lokalnu crkvu.	In this instance, recalling previous instances of entrepreneurial behavior and resulting successes helped people to be open to new changes and new direction for the local church.	promjenama|smjeru	yat|yat	changes|direction	U ovom slučaju, podsjećanje na prethodne primjere preduzetničkog ponašanja i uspjeha koji je s tim ponašanjem povezan, pomoglo je ljudima da budu otvoreni prema novim promenama i novom smeru za lokalnu crkvu.	promjenama>promenama|smjeru>smeru
flores-624	flores	Konvergentni obrasci razmišljanja su tehnike rješavanja problema koje objedinjuju različite ideje ili oblasti u cilju pronalaska rješenja.	Convergent thinking patterns are problem solving techniques that unite different ideas or fields to find a solution.	rješenja	yat	solution	Konvergentni obrasci razmišljanja su tehnike rješavanja problema koje objedinjuju različite ideje ili oblasti u cilju pronalaska rešenja.	rješenja>rešenja
flores-630	flores	To znači da smo u stanju da uspješno predvidimo šta drugi opažaju, namjeravaju, vjeruju, znaju ili žele.	That means we are able to successfully predict what other humans perceive, intend, believe, know or desire.	uspješno|vjeruju	yat|yat	successfully|believe	To znači da smo u stanju da uspešno predvidimo šta drugi opažaju, namjeravaju, veruju, znaju ili žele.	uspješno>uspešno|vjeruju>veruju
flores-634	flores	MRI se zasniva na fenomenu iz fizike poznatom kao nuklearna magnetna rezonanca (NMR), koju su 1930-ih godina otkrili Felix Bloch (sa Univerziteta Stanford) i Edward Purcell (sa Univerziteta Harvard).	MRI is based on a physics phenomenon called nuclear magnetic resonance (NMR), which was discovered in the 1930s by Felix Bloch (working at Stanford University) and Edward Purcell (from Harvard University).	univerziteta	lex	university		
flores-638	flores	Dr. Damadian je 1977. godine završio izradu prvog MR skenera za cijelo tijelo, koji je nazvao „Neuništivi“.	In 1977, Dr. Damadian completed the construction of the first “whole-body” MRI scanner, which he called the ”Indomitable”.	cijelo	yat	whole	Dr. Damadian je 1977. godine završio izradu prvog MR skenera za celo tijelo, koji je nazvao „Neuništivi“.	cijelo>celo
flores-647	flores	Mnogi od nas gledamo emisije na televiziji koje nas obavještavaju o procesu ili iskustvu u kojem nikada nećemo učestvovati niti ćemo primijeniti to znanje.	So many of us find ourselves watching a television show that informs us of a process or experience in which we will never participate or apply that knowledge.	učestvovati	lex	participate	Mnogi od nas gledamo emisije na televiziji koje nas obavještavaju o procesu ili iskustvu u kojem nikada nećemo sudjelovati niti ćemo primijeniti to znanje.	učestvovati>sudjelovati
flores-649	flores	Zahvaljujući podmornom kablu s optičkim vlaknima u Evropi i širokopojasnim satelitskim vezama, Grenland je dobro povezan i 93% stanovništva ima pristup internetu.	Thanks to undersea fiber optic cable links to Europe and broadband satellite, Greenland is well connected with 93% of the population having internet access.	evropi	lex	europe	Zahvaljujući podmornom kablu s optičkim vlaknima u Europi i širokopojasnim satelitskim vezama, Grenland je dobro povezan i 93% stanovništva ima pristup internetu.	Evropi>Europi
flores-650	flores	Vaš hotel ili domaćini (ako boravite u pansionu ili privatnoj kući) će vjerovatno imati Wi-Fi ili računar spojen na Internet, a sva naselja imaju Internet kafe ili neku lokaciju s javnim Wi-Fijem.	Your hotel or hosts (if staying in a guesthouse or private home) will likely have wifi or an internet connected PC, and all settlements have an internet cafe or some location with public wifi.	vjerovatno	yat	likely	Vaš hotel ili domaćini (ako boravite u pansionu ili privatnoj kući) će verovatno imati Wi-Fi ili računar spojen na Internet, a sva naselja imaju Internet kafe ili neku lokaciju s javnim Wi-Fijem.	vjerovatno>verovatno
flores-661	flores	Zahvaljujući čestom prikazu u muzici, filmovima, književnosti i popularnoj kulturi, ovaj grad i njegove znamenitosti prepoznatljivi su u cijelom svijetu.	Its frequent portrayal in music, films, literature and popular culture has helped make the city and its landmarks known throughout the world.	cijelom	yat	throughout	Zahvaljujući čestom prikazu u muzici, filmovima, književnosti i popularnoj kulturi, ovaj grad i njegove znamenitosti prepoznatljivi su u celom svijetu.	cijelom>celom
flores-665	flores	„Tipična“ posjeta podrazumijeva let do Međunarodnog aerodroma u Orlandu, vožnju autobusom do Disneyevog hotela, sedmicu koju provedete ne napuštajući Disneyev park, te povratak kući.	"The ""typical"" visit involves flying into Orlando International Airport, busing to an on-site Disney hotel, spending about a week without leaving Disney property, and returning home."	posjeta|sedmicu	yat|lex	visit|week	„Tipična“ poseta podrazumijeva let do Međunarodnog aerodroma u Orlandu, vožnju autobusom do Disneyevog hotela, sedmicu koju provedete ne napuštajući Disneyev park, te povratak kući.	posjeta>poseta
flores-669	flores	Svako kampiranje izvan ruba Velikog kanjona zahtijeva dozvolu za kampovanje u nacionalnom parku.	Any camping below the rim in Grand Canyon requires a backcountry permit.	zahtijeva	yat	requires	Svako kampiranje izvan ruba Velikog kanjona zahteva dozvolu za kampovanje u nacionalnom parku.	zahtijeva>zahteva
flores-681	flores	Za vrijeme kišne sezone (od novembra do marta), količina vode bit će veća te će slapovi biti dramatičniji.	In the rainy season (November to March), the water volume will be higher and the Falls will be more dramatic.	novembra	lex	november	Za vrijeme kišne sezone (od studenog do marta), količina vode bit će veća te će slapovi biti dramatičniji.	novembra>studenog
flores-688	flores	Posjetiocima sa ograničenim vremenom bi najbolje bilo provesti vrijeme negdje drugdje.	Visitors with limited time would be best to spend their time elsewhere.	drugdje	yat	elsewhere	Posjetiocima sa ograničenim vremenom bi najbolje bilo provesti vrijeme negdje drugde.	drugdje>drugde
flores-689	flores	Phnom Krom, nalazi se 12 km jugozapadno od Siem Reapa. Ovaj hram na samom vrhu brda sagrađen je krajem 9. vijeka, za vrijeme vladavine kralja Yasovarmana.	Phnom Krom, 12 km southwest of Siem Reap. This hilltop temple was built at the end of the 9th century, during the reign of King Yasovarman.	vijeka	yat	century	Phnom Krom, nalazi se 12 km jugozapadno od Siem Reapa. Ovaj hram na samom vrhu brda sagrađen je krajem 9. veka, za vrijeme vladavine kralja Yasovarmana.	vijeka>veka
flores-691	flores	Posjeta ovom mjestu se može prikladno kombinirati s vožnjom brodom do jezera.	A visit to the site can be conveniently combined with a boat trip to the lake.	posjeta	yat	visit	Poseta ovom mjestu se može prikladno kombinirati s vožnjom brodom do jezera.	Posjeta>Poseta
flores-694	flores	Drevni grad na Judejskim brdima ima nevjerovatnu historiju koja je trajala hiljadama godina.	The ancient city in the Judean Hills has a fascinating history spanning thousands of years.	historiju|hiljadama	lex|lex	history|thousands	Drevni grad na Judejskim brdima ima nevjerovatnu istoriju koja je trajala tisućama godina.	historiju>istoriju|hiljadama>tisućama
flores-699	flores	Ovo pismo mora legalizovati ekvadorsko Ministarstvo vanjskih poslova i uskladiti s određenim zahtjevima.	This letter must be legalized by the Ecuadorian Ministry of Foreign Affairs, and comply with certain requirements.	zahtjevima	yat	requirements	Ovo pismo mora legalizovati ekvadorsko Ministarstvo vanjskih poslova i uskladiti s određenim zahtevima.	zahtjevima>zahtevima
flores-702	flores	Vaš pasoš mora biti važeći najmanje šest mjeseci od datuma putovanja. Za potvrdu dužine boravka potrebna vam je povratna ili jednosmjerna karta.	Your passport must be valid for at least 6 months beyond your travel dates. A round/onward trip ticket is needed to prove the length of your stay.	mjeseci	yat	months	Vaš pasoš mora biti važeći najmanje šest meseci od datuma putovanja. Za potvrdu dužine boravka potrebna vam je povratna ili jednosmjerna karta.	mjeseci>meseci
flores-713	flores	Većina ljudi rezerviraju mjesto znatno ranije (jer su brodovi obično popunjeni u jeku sezone).	Most people book their place well in advance (as the boats are usually full during the high season).	mjesto	yat	place	Većina ljudi rezerviraju mesto znatno ranije (jer su brodovi obično popunjeni u jeku sezone).	mjesto>mesto
flores-716	flores	Prije nego što su Španci došli u 16. stoljeću, sjeverni Čile bio je pod vladavinom Inka, a autohtoni Araukanijci (Mapuči) naseljavali su srednji i južni Čile.	Before the Spanish arrived in the 16th century, northern Chile was under Inca rule while the indigenous Araucanians (Mapuche) inhabited central and southern Chile.	sjeverni	yat	northern	Prije nego što su Španci došli u 16. stoljeću, severni Čile bio je pod vladavinom Inka, a autohtoni Araukanijci (Mapuči) naseljavali su srednji i južni Čile.	sjeverni>severni
flores-734	flores	Dozvole se moraju unaprijed rezervirati. Za noćenje u Sireni morate imati dozvolu.	Permits must be reserved in advance. You must have a permit to stay overnight at Sirena.	unaprijed	yat	advance	Dozvole se moraju unapred rezervirati. Za noćenje u Sireni morate imati dozvolu.	unaprijed>unapred
flores-737	flores	Služba za parking (MINAE) ne izdaje dozvole za parkiranje u periodu dužem od mjesec dana prije planiranog dolaska.	The Park Service (MINAE) does not issue park permits more than one month in advance of anticipated arrival.	mjesec	yat	month	Služba za parking (MINAE) ne izdaje dozvole za parkiranje u periodu dužem od mesec dana prije planiranog dolaska.	mjesec>mesec
flores-744	flores	Danas je u razvijenim zemljama pružanje usluge lugsuznog noćenja i doručaka podignuto na nivo neke vrste umjetnosti.	In developed countries today, providing deluxe bed and breakfasts has been raised to a sort of art-form.	umjetnosti	yat	art	Danas je u razvijenim zemljama pružanje usluge lugsuznog noćenja i doručaka podignuto na nivo neke vrste umetnosti.	umjetnosti>umetnosti
flores-748	flores	Postavka može biti historijska stara zgrada sa antiknim namještajem, sređenim terenima i bazenom.	The setting might be an historic old building with antique furnishings, manicured grounds and a swimming pool.	historijska	lex	historic	Postavka može biti istorijska stara zgrada sa antiknim namještajem, sređenim terenima i bazenom.	historijska>istorijska
flores-754	flores	Neki hoteli sadrže naslijeđe iz zlatnog doba parnih željeznica i okeanskih brodova – prije Drugog svjetskog rata, iz 19. ili početka 20. stoljeća.	Some hotels have a heritage from the golden age of steam railways and ocean liners; before the Second World War, in the 19th or early 20th centuries.	naslijeđe|svjetskog	yat|yat	heritage|world	Neki hoteli sadrže nasleđe iz zlatnog doba parnih željeznica i okeanskih brodova – prije Drugog svetskog rata, iz 19. ili početka 20. stoljeća.	naslijeđe>nasleđe|svjetskog>svetskog
flores-763	flores	Poslao je e-poruku studentima lokalnog univerziteta i dobio nevjerojatan broj ponuda za besplatan smještaj.	He emailed students at the local university and received an overwhelming number of offers for free accommodation.	univerziteta	lex	university		
flores-765	flores	Porodice s djecom su rijedak prizor, ali neki hosteli ih dopuštaju u privatnim sobama.	Families with children are a rare sight, but some hostels do allow them in private rooms.	porodice	lex	families	Obitelji s djecom su rijedak prizor, ali neki hosteli ih dopuštaju u privatnim sobama.	Porodice>Obitelji
flores-772	flores	Svjetski sajam (najčešće poznat kao Svjetska izložba ili Expo) je veliki međunarodni festival umjetnosti i nauka.	A World's Fair (commonly called World Exposition, or simply Expo) is large international festival of arts and sciences.	svjetska	yat	world	Svjetski sajam (najčešće poznat kao Svetska izložba ili Expo) je veliki međunarodni festival umjetnosti i nauka.	Svjetska>Svetska
flores-773	flores	Zemlje učesnice predstavljaju umjetničke i obrazovne postavke u nacionalnim paviljonima da prikažu svjetske probleme ili svoju kulturu i historiju.	Participating countries present artistic and educational displays in national pavilions to showcase world issues or their country's culture and history.	historiju	lex	history	Zemlje učesnice predstavljaju umjetničke i obrazovne postavke u nacionalnim paviljonima da prikažu svjetske probleme ili svoju kulturu i istoriju.	historiju>istoriju
flores-776	flores	Ovi događaji obično traju od tri do šest mjeseci i održavaju se na mjestima najmanje veličine 50 hektara.	These events normally last anywhere between three and six months, and are held on sites no smaller than 50 hectares.	mjeseci	yat	months	Ovi događaji obično traju od tri do šest meseci i održavaju se na mjestima najmanje veličine 50 hektara.	mjeseci>meseci
flores-782	flores	Fotografija divljih životinja često se uzima zdravo za gotovo, ali kao i sve fotografije općenito, slika govori hiljadu riječi.	Wildlife photography is often taken for granted, but like photography in general, a picture is worth a thousand words.	hiljadu	lex	thousand	Fotografija divljih životinja često se uzima zdravo za gotovo, ali kao i sve fotografije općenito, slika govori tisuću riječi.	hiljadu>tisuću
flores-791	flores	Kupovanje hrane u supermarketima je obično najjeftiniji način da se prehranite. Međutim, bez mogućnosti za kuhanje, izbori su ograničeni na unaprijed spremljenu hranu.	Buying food in supermarkets is usually the cheapest way to get fed. Without cooking opportunities, choices are however limited to ready-made food.	kuhanje	h	cooking		
flores-814	flores	Porodicama sa malom djecom je vjerovatno potrebno više vremena za pripremu, ali dan na otvorenom lako je ostvariv čak i sa bebama i djecom koja idu u predškolsko.	Families with small children may need more preparations, but a day outdoors is easily possible even with babies and pre-school children.	porodicama	lex	families	Obiteljima sa malom djecom je vjerovatno potrebno više vremena za pripremu, ali dan na otvorenom lako je ostvariv čak i sa bebama i djecom koja idu u predškolsko.	Porodicama>Obiteljima
